id,candidate_name,applied_date,department,status,salary_expected
53,Nilanthi Kumara,2026-01-22,Software Engineering,Hired,85804.0
54,Priya Silva,2026-01-21,Software Engineering,,56837.0
55,Kavindi Kumara,2026-02-15,Finance,,133666.0
56,Amara Perera,2026-01-29,Marketing,Rejected,55914.0
57,Priya Silva,2026-01-17,Finance,Hired,64832.0
58,Amara Silva,2026-02-24,Finance,Rejected,67311.0
59,Nilanthi Perera,2026-02-28,Finance,Rejected,86229.0
60,Arjun Kumara,30/01/2026,HR,Pending,
61,Deepika Silva,2026-01-14,Finance,Rejected,144498.0
62,Hirushi Silva,2026-01-07,Software Engineering,Pending,66278.0
63,Amara Fernando,2026-02-25,HR,Interview,127709.0
64,Priya Silva,2026-02-12,HR,Interview,128841.0
65,Arjun Kumara,2026-02-12,Data Science,Pending,139254.0
66,Arjun Perera,2026-02-08,HR,,83248.0
67,Saman Kumara,2026-02-21,HR,Hired,86779.0
68,Hirushi Silva,2026-02-18,Marketing,Interview,50759.0
69,Priya Fernando,2026-01-15,Data Science,,112515.0
70,Kavindi Fernando,28/02/2026,Finance,,119255.0
71,Hirushi Perera,2026-03-01,Marketing,,90378.0
72,Deepika Kumara,2026-02-19,Finance,Rejected,139387.0
73,Hirushi Silva,2026-01-23,Marketing,Rejected,138651.0
74,Nimal Kumara,2026-01-11,HR,,75924.0
75,Hirushi Kumara,2026-01-27,Finance,Pending,
76,Amara Perera,2026-01-22,Data Science,,70579.0
77,Hirushi Perera,2026-02-19,Software Engineering,Interview,54271.0
78,Arjun Silva,2026-02-07,Data Science,Hired,84088.0
79,Saman Silva,2026-02-19,Data Science,Pending,51272.0
80,Saman Kumara,08/02/2026,Data Science,Rejected,117530.0
81,Sunil Fernando,2026-01-28,Marketing,Pending,91759.0
82,Deepika Perera,2026-02-16,Marketing,,81285.0
83,Nimal Fernando,2026-02-10,HR,Rejected,132751.0
84,Sunil Perera,2026-02-23,Software Engineering,Rejected,127244.0
85,Deepika Perera,2026-02-14,Data Science,Interview,131082.0
86,Nimal Fernando,2026-02-22,Finance,Interview,78011.0
87,Arjun Silva,2026-02-27,Software Engineering,Pending,76501.0
88,Nilanthi Kumara,2026-02-05,HR,Interview,131210.0
89,Sunil Silva,2026-01-01,Marketing,,143558.0
90,Kavindi Fernando,27/02/2026,Marketing,Rejected,
91,Saman Kumara,2026-01-01,Marketing,Interview,94517.0
92,Priya Kumara,2026-01-25,Software Engineering,,107607.0
93,Amara Silva,2026-01-19,HR,Hired,142703.0
94,Saman Silva,2026-02-14,Software Engineering,Interview,142018.0
95,Hirushi Perera,2026-01-19,Marketing,Pending,146613.0
96,Hirushi Kumara,2026-02-11,Marketing,Interview,123777.0
97,Amara Kumara,2026-01-21,Marketing,Hired,55699.0
98,Kavindi Perera,2026-01-06,Finance,,112350.0
99,Hirushi Fernando,2026-01-21,Marketing,Pending,95640.0
100,Arjun Silva,20/01/2026,Software Engineering,Interview,98693.0
1,Hirushi Perera,2026-02-02,Finance,Interview,64548.0
2,Sunil Kumara,2026-01-14,Software Engineering,Interview,70120.0
3,Sunil Kumara,2026-01-22,Data Science,Pending,74176.0
4,Amara Perera,2026-02-20,Finance,Rejected,143194.0
5,Amara Silva,2026-02-15,Finance,Pending,76050.0
